,equity
2025-06-04 00:00:00+00:00,8463.338931196891
2025-06-05 00:00:00+00:00,8663.9626256097
2025-06-06 00:00:00+00:00,8777.792709143516
2025-06-09 00:00:00+00:00,8846.947591850689
2025-06-10 00:00:00+00:00,8722.19081473621
2025-06-11 00:00:00+00:00,8714.143777634923
2025-06-12 00:00:00+00:00,8622.395501302108
2025-06-13 00:00:00+00:00,8778.096344204523
2025-06-16 00:00:00+00:00,8735.338609938271
2025-06-17 00:00:00+00:00,8739.462630675083
2025-06-18 00:00:00+00:00,8624.26189961171
2025-06-20 00:00:00+00:00,8606.294034607221
2025-06-23 00:00:00+00:00,8795.898256065411
2025-06-24 00:00:00+00:00,9011.442335436295
2025-06-25 00:00:00+00:00,9125.736536362063
2025-06-26 00:00:00+00:00,9350.910194768185
2025-06-27 00:00:00+00:00,9274.858050582194
2025-06-30 00:00:00+00:00,9234.182732536707
2025-07-01 00:00:00+00:00,9342.383761685734
2025-07-02 00:00:00+00:00,9444.791515789913
2025-07-03 00:00:00+00:00,9356.268708979624
2025-07-07 00:00:00+00:00,9310.736217272575
2025-07-08 00:00:00+00:00,9435.795118114442
2025-07-09 00:00:00+00:00,9486.593102478995
2025-07-10 00:00:00+00:00,9558.057322892033
2025-07-11 00:00:00+00:00,9558.802328927533
2025-07-14 00:00:00+00:00,9735.40755255409
2025-07-15 00:00:00+00:00,9744.196542066546
2025-07-16 00:00:00+00:00,9796.516989967255
2025-07-17 00:00:00+00:00,9830.33161181423
2025-07-18 00:00:00+00:00,9906.160478083928
2025-07-21 00:00:00+00:00,9875.608568085474
2025-07-22 00:00:00+00:00,9882.967924959843
2025-07-23 00:00:00+00:00,9952.874377997827
2025-07-24 00:00:00+00:00,9956.348762613283
