date,open,high,low,close,volume
2023-03-24 00:00:00+00:00,244.1,244.1,244.1,244.1,0
2023-03-27 00:00:00+00:00,245.1,245.1,245.1,245.1,0
2023-03-28 00:00:00+00:00,245.1,245.1,245.1,245.1,0
2023-03-29 00:00:00+00:00,248.65,248.65,248.65,248.65,0
2023-03-30 00:00:00+00:00,254.1,254.1,254.1,254.1,0
2023-03-31 00:00:00+00:00,255.55,255.55,255.55,255.55,0
2023-04-03 00:00:00+00:00,253.4,253.4,253.4,253.4,0
2023-04-04 00:00:00+00:00,252.1,252.1,252.05,252.05,1040
2023-04-05 00:00:00+00:00,250.3,250.3,250.3,250.3,197
2023-04-06 00:00:00+00:00,249.1,249.1,249.1,249.1,9
2023-04-11 00:00:00+00:00,244.3,255.3,244.3,245.5,82
2023-04-12 00:00:00+00:00,246.5,251.0,243.45,243.45,1247
2023-04-13 00:00:00+00:00,246.7,246.7,246.7,246.7,100
2023-04-14 00:00:00+00:00,251.0,251.0,251.0,251.0,1
2023-04-17 00:00:00+00:00,254.35,254.35,254.35,254.35,0
2023-04-18 00:00:00+00:00,252.4,252.4,252.4,252.4,9
2023-04-19 00:00:00+00:00,255.0,255.0,255.0,255.0,8
2023-04-20 00:00:00+00:00,254.4,256.35,254.4,256.35,1020
2023-04-21 00:00:00+00:00,264.8,264.8,264.8,264.8,0
2023-04-24 00:00:00+00:00,259.35,259.35,259.35,259.35,0
2023-04-25 00:00:00+00:00,257.5,257.5,257.5,257.5,13
2023-04-26 00:00:00+00:00,263.8,263.9,260.55,260.55,26
2023-04-27 00:00:00+00:00,262.2,268.1,262.2,268.1,34
2023-04-28 00:00:00+00:00,264.3,264.3,257.6,257.6,138
2023-05-02 00:00:00+00:00,253.1,253.15,253.1,253.15,804
2023-05-03 00:00:00+00:00,259.7,259.7,256.9,256.9,519
2023-05-04 00:00:00+00:00,255.7,255.7,255.7,255.7,0
2023-05-05 00:00:00+00:00,256.05,256.05,256.05,256.05,0
2023-05-09 00:00:00+00:00,259.7,259.7,258.95,258.95,519
2023-05-10 00:00:00+00:00,267.1,267.1,267.1,267.1,0
2023-05-11 00:00:00+00:00,270.2,276.2,270.2,276.2,279
2023-05-12 00:00:00+00:00,275.9,275.9,272.95,272.95,652
2023-05-15 00:00:00+00:00,271.3,271.3,271.3,271.3,0
2023-05-16 00:00:00+00:00,279.45,279.45,279.45,279.45,0
2023-05-17 00:00:00+00:00,283.0,283.0,283.0,283.0,0
2023-05-18 00:00:00+00:00,291.5,291.5,291.5,291.5,0
2023-05-19 00:00:00+00:00,287.05,287.05,287.05,287.05,0
2023-05-22 00:00:00+00:00,284.05,284.05,284.05,284.05,0
2023-05-23 00:00:00+00:00,288.45,288.45,288.45,288.45,0
2023-05-24 00:00:00+00:00,288.25,288.25,288.25,288.25,0
2023-05-25 00:00:00+00:00,291.7,291.7,286.45,286.45,1048
2023-05-26 00:00:00+00:00,300.9,300.9,300.9,300.9,0
2023-05-30 00:00:00+00:00,291.7,301.25,288.8,301.25,1048
2023-05-31 00:00:00+00:00,296.35,296.35,296.35,296.35,0
2023-06-01 00:00:00+00:00,298.65,298.65,298.65,298.65,0
2023-06-02 00:00:00+00:00,292.2,308.2,292.2,308.2,146
2023-06-05 00:00:00+00:00,310.15,310.15,310.15,310.15,0
2023-06-06 00:00:00+00:00,312.45,312.45,312.45,312.45,0
2023-06-07 00:00:00+00:00,305.1,305.1,305.1,305.1,0
2023-06-08 00:00:00+00:00,305.65,305.65,305.65,305.65,0
2023-06-09 00:00:00+00:00,303.2,303.2,301.7,301.7,400
2023-06-12 00:00:00+00:00,307.2,307.2,307.2,307.2,0
2023-06-13 00:00:00+00:00,309.6,309.6,309.6,309.6,0
2023-06-14 00:00:00+00:00,306.3,306.3,306.3,306.3,0
2023-06-15 00:00:00+00:00,303.55,303.55,303.55,303.55,0
2023-06-16 00:00:00+00:00,302.65,302.65,302.65,302.65,0
